Text, PREDICTED author , WRITTEN by 
LastDayOfPompeii1,Lytton,Lytton
LastMohicans_3,Cooper,Cooper
Ligeia_1838,Hawthorne,Poe
MinorMorals3,Bowring,Bowring
MobyDick_2,Melville,Melville
PericlesAndAspesia1,Landor,Landor
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_2,Gilman,Gilman
Rookwood1,Hawthorne,Ainsworth
SheppardLee2,Bird,Bird
Spaewife1,Galt,Galt
StLeon_2,Godwin,Godwin
TheCaesars_1851,Quincey,Quincey
TheDoctor1,Southey,Southey
TwiceToldTales_4,Hawthorne,Hawthorne
Woodstock2,Scott,Scott
ADream_1831,Poe,Poe
BelOfPrairieEden,Lippard,Lippard
BlithedaleRomance,Hawthorne,Hawthorne
ChroniclesOftheCanongate1,Scott,Scott
Destiny2,Ferrier,Ferrier
HarryandLucy4,Edgeworth,Edgeworth
LastDayOfPompeii3,Lytton,Lytton
LastMohicans_4,Cooper,Cooper
MinorMorals3,Bowring,Bowring
Morella_1835,Gilman,Poe
Omoo_1847,Irving,Melville
Ormond_1799,BrownCharlesBrockden,BrownCharlesBrockden
PericlesAndAspesia2,Landor,Landor
RealLifeInLondon_1,Badcock,Badcock
RecollectionsofSouthernMatron_1,Gilman,Gilman
RipVanWInkle,Irving,Irving
Rookwood3,Ainsworth,Ainsworth
SheppardLee2,Bird,Bird
Spaewife1,Galt,Galt
StLeon_1,Godwin,Godwin
TheCaesars_1851,Quincey,Quincey
TheDoctor2,Southey,Southey
ADream_1831,Poe,Poe
Calavar,Bird,Bird
ConfidenceMan,Melville,Melville
Destiny2,Ferrier,Ferrier
EnglishMailCoach_1849,Quincey,Quincey
Helen,Edgeworth,Edgeworth
LastDayOfPompeii2,Lytton,Lytton
LastMohicans_1,Cooper,Cooper
MinorMorals2,Bowring,Bowring
Ormond_1799,BrownCharlesBrockden,BrownCharlesBrockden
PericlesAndAspesia2,Landor,Landor
QuakerCity,Lippard,Lippard
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_1,Gilman,Gilman
Rookwood2,Ainsworth,Ainsworth
SketchBookOfGeoffreyCrayon_4,Irving,Irving
Spaewife3,Galt,Galt
StLeon_2,Godwin,Godwin
TheDoctor2,Southey,Southey
TheManOfTheCrowd_1840,Quincey,Poe
TwiceToldTales_3,Hawthorne,Hawthorne
Woodstock3,Scott,Scott
ADream_1831,Poe,Poe
ArthurMervyn_1793,BrownCharlesBrockden,BrownCharlesBrockden
BelOfPrairieEden,Lippard,Lippard
Destiny1,Ferrier,Ferrier
Helen,Edgeworth,Edgeworth
Klosterheim_1,Quincey,Quincey
LastDayOfPompeii3,Lytton,Lytton
LastMohicans_1,Cooper,Cooper
Ligeia_1838,Hawthorne,Poe
MinorMorals3,Bowring,Bowring
PericlesAndAspesia1,Landor,Landor
PiazzaTales,Melville,Melville
RealLifeInLondon_1,Badcock,Badcock
RecollectionsofSouthernMatron_1,Gilman,Gilman
Rookwood2,Ainsworth,Ainsworth
SheppardLee2,Bird,Bird
SketchBookOfGeoffreyCrayon_2,Irving,Irving
Spaewife2,Galt,Galt
StLeon_1,Godwin,Godwin
TheAbbot3,Scott,Scott
TheDoctor1,Southey,Southey
TwiceToldTales_3,Hawthorne,Hawthorne
ADream_1831,Poe,Poe
ArthurMervyn_1793,BrownCharlesBrockden,BrownCharlesBrockden
Destiny3,Ferrier,Ferrier
HarryandLucy4,Edgeworth,Edgeworth
Klosterheim_1,Quincey,Quincey
LastDayOfPompeii1,Lytton,Lytton
MaskOfTheRedDeath_1842,Poe,Poe
MinorMorals1,Bowring,Bowring
NickOfTheWoods_1837,Scott,Bird
Omoo_1847,Irving,Melville
PericlesAndAspesia2,Landor,Landor
PocketHandkerchief,Cooper,Cooper
QuakerCity,Lippard,Lippard
RealLifeInLondon_1,Badcock,Badcock
RecollectionsofSouthernMatron_2,Gilman,Gilman
Rookwood2,Ainsworth,Ainsworth
SketchBookOfGeoffreyCrayon_3,Irving,Irving
Spaewife3,Galt,Galt
StLeon_2,Godwin,Godwin
TheDoctor1,Southey,Southey
TwiceToldTales_1,Hawthorne,Hawthorne
Woodstock2,Scott,Scott
ADream_1831,Poe,Poe
ArthurMervyn_1793,BrownCharlesBrockden,BrownCharlesBrockden
BlithedaleRomance,Hawthorne,Hawthorne
BracebridgeHall1,Irving,Irving
Destiny3,Ferrier,Ferrier
HarryandLucy3,Edgeworth,Edgeworth
Klosterheim_1,Quincey,Quincey
LastDayOfPompeii3,Lytton,Lytton
MinorMorals2,Bowring,Bowring
MobyDick_1,Melville,Melville
Monikins,Cooper,Cooper
PericlesAndAspesia2,Landor,Landor
QuakerCity,Lippard,Lippard
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_2,Gilman,Gilman
Rookwood3,Ainsworth,Ainsworth
SheppardLee2,Bird,Bird
Spaewife2,Galt,Galt
StLeon_1,Godwin,Godwin
TheDoctor2,Southey,Southey
TheMesmericRevelation_1844,Melville,Poe
ThePirate_1822,Scott,Scott
ADream_1831,Poe,Poe
Assignation_1834,Hawthorne,Poe
BelOfPrairieEden,Lippard,Lippard
ChroniclesOftheCanongate2,Scott,Scott
Destiny3,Ferrier,Ferrier
HarryandLucy2,Edgeworth,Edgeworth
LastDayOfPompeii3,Lytton,Lytton
LastMohicans_3,Cooper,Cooper
MinorMorals3,Bowring,Bowring
MobyDick_1,Melville,Melville
MossesFromAnOldManse,Hawthorne,Hawthorne
PericlesAndAspesia1,Landor,Landor
RealLifeInLondon_1,Badcock,Badcock
RecollectionsofSouthernMatron_1,Gilman,Gilman
Rookwood1,Hawthorne,Ainsworth
SheppardLee2,Bird,Bird
SketchBookOfGeoffreyCrayon_1,Irving,Irving
Spaewife1,Galt,Galt
StLeon_1,Godwin,Godwin
TheCaesars_1851,Quincey,Quincey
TheDoctor1,Southey,Southey
Wieland,BrownCharlesBrockden,BrownCharlesBrockden
ADream_1831,Poe,Poe
Assignation_1834,Hawthorne,Poe
BracebridgeHall1,Irving,Irving
Destiny3,Ferrier,Ferrier
HarryandLucy4,Edgeworth,Edgeworth
LastDayOfPompeii3,Lytton,Lytton
MinorMorals1,Bowring,Bowring
MobyDick_4,Melville,Melville
Monikins,Cooper,Cooper
PericlesAndAspesia1,Landor,Landor
QuakerCity,Lippard,Lippard
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_1,Gilman,Gilman
Rookwood1,Hawthorne,Ainsworth
ScarletLetter,Hawthorne,Hawthorne
Spaewife2,Galt,Galt
StLeon_2,Godwin,Godwin
TheCaesars_1851,Quincey,Quincey
TheDoctor2,Southey,Southey
TheInfidel_v1_1835,Bird,Bird
Wieland,BrownCharlesBrockden,BrownCharlesBrockden
Woodstock3,Scott,Scott

Author,TruePOS,TrueNEG,FalsePOS,FalseNEG
Poe,12,200,0,8
Bird,8,210,0,2
Southey,10,210,0,0
Cooper,10,210,0,0
Ferrier,10,210,0,0
Ainsworth,7,210,0,3
Lippard,10,210,0,0
Badcock,10,209,1,0
Gilman,10,209,1,0
Irving,10,208,2,0
Bowring,10,210,0,0
Galt,10,210,0,0
Godwin,10,210,0,0
Hawthorne,10,203,7,0
Edgeworth,10,210,0,0
Quincey,10,209,1,0
Scott,10,208,2,0
Lytton,10,210,0,0
Melville,8,209,1,2
Landor,10,210,0,0
BrownCharlesBrockden,10,210,0,0

Author:,Times predicted to write [A Dream]
Poe,10
Bird,0
Southey,0
Cooper,0
Ferrier,0
Ainsworth,0
Lippard,0
Badcock,0
Gilman,0
Irving,0
Bowring,0
Galt,0
Godwin,0
Hawthorne,0
Edgeworth,0
Quincey,0
Scott,0
Lytton,0
Melville,0
Landor,0
BrownCharlesBrockden,0
