Text, PREDICTED author , WRITTEN by 
PericlesAndAspesia2,Landor,Landor
PocketHandkerchief,Cooper,Cooper
RealLifeInLondon_2,Badcock,Badcock
RecollectionsofSouthernMatron_1,Gilman,Gilman
Rookwood3,Ainsworth,Ainsworth
ScarletLetter,Hawthorne,Hawthorne
Spaewife2,Galt,Galt
StLeon_2,Godwin,Godwin
TheAbbot,Scott,Scott
TheDoctor2,Southey,Southey

Author,TruePOS,TrueNEG,FalsePOS,FalseNEG
Lippard,3,210,0,7
Lytton,10,209,1,0
Badcock,10,209,1,0
Bowring,6,210,0,4
Scott,10,205,5,0
BrownCharlesBrockden,10,210,0,0
Cooper,10,199,11,0
Ferrier,10,210,0,0
Galt,10,210,0,0
Melville,7,210,0,3
Quincey,8,210,0,2
Landor,10,210,0,0
Irving,8,200,10,2
Edgeworth,9,210,0,1
Southey,5,210,0,5
Hawthorne,9,205,5,1
Bird,10,210,0,0
Godwin,10,210,0,0
Poe,14,198,2,6
Ainsworth,7,206,4,3
Gilman,5,210,0,5

Author:,Times predicted to write [A Dream]
Lippard,0
Lytton,0
Badcock,0
Bowring,0
Scott,0
BrownCharlesBrockden,0
Cooper,0
Ferrier,0
Galt,0
Melville,0
Quincey,0
Landor,0
Irving,0
Edgeworth,0
Southey,0
Hawthorne,0
Bird,0
Godwin,0
Poe,7
Ainsworth,3
Gilman,0
